"","Season","name","System","Implementing agency","Unit type","total"
"219","Winter-2020","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",754
"220","Winter-2021","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",1070
"221","Winter-2022","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",245
"222","Fall-2018","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",9382
"223","Fall-2019","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",6523
"224","Fall-2020","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",10129
"225","Fall-2021","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",9714
"226","Spring-2018","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",9975
"227","Spring-2019","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",7611
"228","Spring-2020","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",12525
"229","Spring-2021","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",11677
"230","Summer-2018","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",35929
"231","Summer-2019","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",35652
"232","Summer-2020","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",16355
"233","Summer-2021","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",22634
"234","Winter-2018","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",2173
"235","Winter-2019","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",3239
"236","Winter-2020","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",2612
"237","Winter-2021","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",3112
"238","Winter-2022","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",296
"239","Fall-2018","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",9398
"240","Fall-2019","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",6410
"241","Fall-2020","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",7422
"242","Fall-2021","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",2960
"243","Spring-2018","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",4500
"244","Spring-2019","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",5119
