"Park name","System","Implementing agency","Unit type","Core park","Season","Vehicle visits"
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Spring-2018",68638
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Spring-2019",57576
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Spring-2020",18739
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Spring-2021",40469
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Summer-2018",104677
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Summer-2019",59546
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Summer-2020",35474
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Summer-2021",45425
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Winter-2018",51742
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Winter-2019",46097
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Winter-2020",20539
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Winter-2021",23824
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Winter-2022",4923
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Fall-2018",62389
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Fall-2019",51941
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Fall-2020",65194
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Fall-2021",65785
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Spring-2018",59936
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Spring-2019",63660
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Spring-2020",79121
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Spring-2021",85951
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Summer-2018",120829
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Summer-2019",124370
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Summer-2020",125073
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Summer-2021",130719
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Winter-2018",35055
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Winter-2019",36454
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Winter-2020",47585
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Winter-2021",60242
